Timestamp,Coin Name,Price (USD),24h Change,Market Cap
14-06-2026 14:58,Bitcoin,"$64,311.17",0.84%,"$1,288,957,226,819"
14-06-2026 14:58,Ethereum,"$1,669.80",0.18%,"$201,518,574,393"
14-06-2026 14:58,Tether,$0.9993,0.01%,"$186,458,310,350"
14-06-2026 14:58,BNB,$610.10,1.12%,"$82,231,564,469"
14-06-2026 14:58,USDC,$0.9997,0.00%,"$74,832,258,569"
14-06-2026 14:58,XRP,$1.14,0.02%,"$70,966,257,203"
14-06-2026 14:58,Solana,$68.09,1.03%,"$39,493,375,834"
14-06-2026 14:58,TRON,$0.3170,0.36%,"$30,062,895,785"
14-06-2026 14:58,Hyperliquid,$60.20,2.41%,"$15,261,209,960"
14-06-2026 14:58,Dogecoin,$0.08703,0.25%,"$13,460,865,648"
